game,game_type,game_date,game_day,game_time,game_place,team_name_top,team_name_bottom,1_top,2_top,3_top,4_top,5_top,6_top,7_top,8_top,9_top,points_top,1_bottom,2_bottom,3_bottom,4_bottom,5_bottom,6_bottom,7_bottom,8_bottom,9_bottom,points_bottom
479152,練習試合,2020-11-08,日,17:00,猿江恩賜公園 野球場A面,留年バスターズ,新宿レニーズ,1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,4,4,0.0,0.0,2.0,0.0,0.0,0.0,,,6
475791,その他,2020-10-31,土,16:15,光ヶ丘公園野球場,留年バスターズ,Silver Fox,0,0.0,2.0,,,,,,,2,0,0.0,0.0,,,,,,,0
475787,練習試合,2020-10-31,土,15:00,光ヶ丘公園野球場,Silver Fox,留年バスターズ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,1.0,0.0,,,,1
475642,練習試合,2020-10-31,土,10:30,光ヶ丘公園野球場,アクト野球部,留年バスターズ,1,2.0,0.0,0.0,3.0,0.0,0.0,,,6,0,2.0,2.0,1.0,6.0,1.0,,,,12
470572,練習試合,2020-10-11,日,19:00,世田谷公園 野球場A面・B面,D.R.K,留年バスターズ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1
467581,練習試合,2020-10-03,土,19:00,天王洲公園野球場,留年バスターズ,品川オリオールズ,0,0.0,0.0,3.0,0.0,0.0,1.0,,,4,1,0.0,0.0,0.0,0.0,2.0,2.0,,,5
467319,練習試合,2020-10-03,土,9:00,郷土の森第一野球場 軟式野球場D面,東京レッドフォックス,留年バスターズ,1,0.0,3.0,0.0,2.0,2.0,0.0,1.0,,9,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
463531,練習試合,2020-09-20,日,17:00,台東リバーサイド野球場,留年バスターズ,ハチナイ草野球部,1,0.0,4.0,2.0,4.0,0.0,,,,11,0,0.0,0.0,0.0,0.0,0.0,,,,0
463199,練習試合,2020-09-20,日,12:00,調布市民野球場,それゆけ！！ザ・ソメチーズ２,留年バスターズ,1,1.0,3.0,2.0,4.0,0.0,0.0,0.0,,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
460866,練習試合,2020-09-13,日,17:00,猿江恩賜公園野球場,留年バスターズ,新宿レニーズ,1,0.0,0.0,1.0,0.0,7.0,0.0,,,9,2,0.0,0.0,0.0,1.0,0.0,0.0,,,3
460489,練習試合,2020-09-13,日,11:00,篠崎公園野球場A,留年バスターズ,S.B.C,0,1.0,0.0,0.0,3.0,0.0,1.0,,,5,0,1.0,0.0,1.0,0.0,0.0,,,,2
459441,練習試合,2020-09-06,日,19:00,上高田運動施設野球場,留年バスターズ,クレスト野球部,0,0.0,0.0,3.0,0.0,0.0,2.0,,,5,0,0.0,0.0,0.0,0.0,0.0,,,,0
452388,練習試合,2020-07-26,日,17:00,世田谷総合運動場野球場,留年バスターズ,川崎余熱Savers,1,0.0,0.0,0.0,1.0,0.0,,,,2,2,1.0,0.0,0.0,0.0,1.0,,,,4
